Date,Open,High,Low,Close,Volume,Market Cap
2018-02-17,10207.50,11139.50,10149.40,11112.70,8660880000.00,172191000000.00
2018-02-16,10135.70,10324.10,9824.82,10233.90,7296160000.00,170960000000.00
2018-02-15,9488.32,10234.80,9395.58,10166.40,9062540000.00,160025000000.00
2018-02-14,8599.92,9518.54,8599.92,9494.63,7909820000.00,145023000000.00
2018-02-13,8926.72,8958.47,8455.41,8598.31,5696720000.00,150516000000.00
2018-02-12,8141.43,8985.92,8141.43,8926.57,6256440000.00,137258000000.00
2018-02-11,8616.13,8616.13,7931.10,8129.97,6122190000.00,145245000000.00
2018-02-10,8720.08,9122.55,8295.47,8621.90,7780960000.00,146981000000.00
2018-02-09,8271.84,8736.98,7884.71,8736.98,6784820000.00,139412000000.00
2018-02-08,7637.86,8558.77,7637.86,8265.59,9346750000.00,128714000000.00
2018-02-07,7755.49,8509.11,7236.79,7621.30,9169280000.00,130683000000.00
2018-02-06,7051.75,7850.70,6048.26,7754.00,13999800000.00,118810000000.00
2018-02-05,8270.54,8364.84,6756.68,6955.27,9285290000.00,139325000000.00
2018-02-04,9175.70,9334.87,8031.22,8277.01,7073550000.00,154553000000.00
2018-02-03,8852.12,9430.75,8251.63,9174.91,7263790000.00,149085000000.00
2018-02-02,9142.28,9142.28,7796.49,8830.75,12726900000.00,153953000000.00
2018-02-01,10237.30,10288.80,8812.28,9170.54,9959400000.00,172372000000.00
2018-01-31,10108.20,10381.60,9777.42,10221.10,8041160000.00,170183000000.00
2018-01-30,11306.80,11307.20,10036.20,10106.30,8637860000.00,190339000000.00
2018-01-29,11755.50,11875.60,11179.20,11296.40,7107360000.00,197871000000.00
2018-01-28,11475.30,12040.30,11475.30,11786.30,8350360000.00,193133000000.00
2018-01-27,11174.90,11614.90,10989.20,11440.70,7583270000.00,188054000000.00
2018-01-26,11256.00,11656.70,10470.30,11171.40,9746200000.00,189398000000.00
2018-01-25,11421.70,11785.70,11057.40,11259.40,8873170000.00,192163000000.00
2018-01-24,10903.40,11501.40,10639.80,11359.40,9940990000.00,183419000000.00
2018-01-23,10944.50,11377.60,10129.70,10868.40,9660610000.00,184087000000.00
2018-01-22,11633.10,11966.40,10240.20,10931.40,10537400000.00,195645000000.00
2018-01-21,12889.20,12895.90,11288.20,11600.10,9935180000.00,216740000000.00
2018-01-20,11656.20,13103.00,11656.20,12899.20,11801700000.00,195979000000.00
2018-01-19,11429.80,11992.80,11172.10,11607.40,10740400000.00,192150000000.00
2018-01-18,11198.80,12107.30,10942.50,11474.90,15020400000.00,188242000000.00
2018-01-17,11431.10,11678.00,9402.29,11188.60,18830600000.00,192123000000.00
2018-01-16,13836.10,13843.10,10194.90,11490.50,18853800000.00,232517000000.00
2018-01-15,13767.30,14445.50,13641.70,13819.80,12750800000.00,231334000000.00
2018-01-14,14370.80,14511.80,13268.00,13772.00,11084100000.00,241447000000.00
2018-01-13,13952.40,14659.50,13952.40,14360.20,12763600000.00,234391000000.00
2018-01-12,13453.90,14229.90,13158.10,13980.60,12065700000.00,225986000000.00
2018-01-11,14968.20,15018.80,13105.90,13405.80,16534100000.00,251387000000.00
2018-01-10,14588.50,14973.30,13691.20,14973.30,18500800000.00,244981000000.00
2018-01-09,15123.70,15497.50,14424.00,14595.40,16660000000.00,253935000000.00
2018-01-08,16476.20,16537.90,14208.20,15170.10,18413900000.00,276612000000.00
2018-01-07,17527.30,17579.60,16087.70,16477.60,15866000000.00,294222000000.00
2018-01-06,17462.10,17712.40,16764.60,17527.00,18314600000.00,293091000000.00
2018-01-05,15477.20,17705.20,15202.80,17429.50,23840900000.00,259748000000.00
2018-01-04,15270.70,15739.70,14522.20,15599.20,21783200000.00,256250000000.00
2018-01-03,14978.20,15572.80,14844.50,15201.00,16871900000.00,251312000000.00
2018-01-02,13625.00,15444.60,13163.60,14982.10,16846600000.00,228579000000.00
2018-01-01,14112.20,14112.20,13154.70,13657.20,10291200000.00,236725000000.00
